context_en;context_ru;domain;idiom_en;is_idiomatic;idiom_ru;en_idiom_structure;ru_idiom_structure;interlanguage_equivalence;translation_equivalence
No one thought the brash newcomer would be a threat to the established candidates, but he's turning out to be a real dark horse in this campaign.;Никто не думал, что дерзкий новичок станет угрозой для устоявшихся кандидатов, но он оказался настоящей тёмной лошадкой в этой кампании.;general;a dark horse;ИСТИНА;тёмная лошадка;DET + ADJ + <NOUN>;ADJ + <NOUN>;1;ИСТИНА
I'd rather be a dark horse than be expected to win and have anything less seen as a failure.;Уж лучше я буду тёмной лошадкой, чем от меня будут ждать победы, и что-то меньшее воспримут как неудачу.;general;a dark horse;ИСТИНА;тёмная лошадка;DET + ADJ + <NOUN>;ADJ + <NOUN>;1;ИСТИНА
Angela was suddenly viewed as a dark horse when she displayed her beautiful sculptures at the art fair. Nobody knew she had such artistic talent.;Анжела внезапно стала восприниматься как тёмная лошадка, когда она представила свои прекрасные скульптуры на художественной ярмарке. Никто не знал, что у неё такой художественный талант.;general;a dark horse;ИСТИНА;тёмная лошадка;DET + ADJ + <NOUN>;ADJ + <NOUN>;1;ИСТИНА
Wow, I thought Liz had the highest GPA in the grade for sure. Who knew Danielle was a dark horse with such good grades?;Ого, а я-то думал, у Лиз самый высокий средний балл в классе. Кто же знал, что Даниэль ? тёмная лошадка с такими хорошими оценками?;general;a dark horse;ИСТИНА;тёмная лошадка;DET + ADJ + <NOUN>;ADJ + <NOUN>;1;ИСТИНА
Rose was a dark horse when she signed up for the talent show ? no one knew she could sing like that!;Роуз была тёмной лошадкой, когда записалась на шоу талантов ? никто не знал, что она может так петь!;general;a dark horse;ИСТИНА;тёмная лошадка;DET + ADJ + <NOUN>;ADJ + <NOUN>;1;ИСТИНА
What a lot of friends from the past you have ? you really are a dark horse, Robert!;Как много у тебя друзей из прошлого ? да ты настоящая тёмная лошадка, Роберт!;general;a dark horse;ИСТИНА;тёмная лошадка;DET + ADJ + <NOUN>;ADJ + <NOUN>;1;ИСТИНА
Czech Karel Novacek, the dark horse of the international tennis circuit, beat his opponent 7-5, 6-2, 6-4.;Чех Карел Новачек, тёмная лошадка международного теннисного турнира, обыграл своего соперника со счётом 7-5, 6-2, 6-4.;general;a dark horse;ИСТИНА;тёмная лошадка;DET + ADJ + <NOUN>;ADJ + <NOUN>;1;ИСТИНА
Even if there is some utility to our learning a second language as adults, the critical period for language acquisition may have evolved as part of a larger fact of life.;Даже если существует какая-то польза от овладения иностранным языком в зрелом возрасте, критический период для усвоения языка, возможно, эволюционировал как часть более глобального жизненного явления.;fiction;a fact of life;ЛОЖЬ;;;;;
Rampage killings take place in our high schools, and in several parts of the world suicide bombers have emerged as a fact of life.;Буйные убийства происходят в наших средних школах, а в некоторых частях мира террористы-смертники стали суровой реальностью.;fiction;a fact of life;ИСТИНА;;DET + <NOUN> + ADP + NOUN;;4;?
"Publicly speaking out about work conditions is in fact a core responsibility of unions; public debate about the issue, likewise, is a fact of life in a capitalist economy.";"Публичные выступления с заявлениями об условиях труда по сути являются одной из главных функций профсоюзов; публичные обсуждения таких вопросов ? также нормальная практика в условиях капиталистической экономики.";legal_docs;a fact of life;ИСТИНА;;DET + <NOUN> + ADP + NOUN;;4;?
But it is a sad fact of modern life that one in two marriages in the States ends in divorce, with the rest of the world not being far behind.;Но печальным фактом современной жизни является то, что каждый второй брак в США заканчивается разводом, да и весь остальной мир не сильно отстает.;edu_and_sci;a fact of life;ИСТИНА;;DET + <NOUN> + ADP + NOUN;;4;?
Contrary to the steady flow of disinformation, we begin with the premise that even as English has historically been the dominant language in the United States since the colonial era, language diversity has always been a fact of life.;Вопреки непрекращающемуся потоку дезинформации, мы начинаем с предположения, что, хотя английский язык исторически был доминирующим языком в Соединённых Штатах с колониальной эпохи, языковое разнообразие всегда было правдой жизни.;edu_and_sci;a fact of life;ИСТИНА;;DET + <NOUN> + ADP + NOUN;;4;?
I thought Allison and I had a strong friendship, but I learned she was just another fair-weather friend when she stopped talking to me after my divorce.;Я думала, что у нас с Эллисон крепкая дружба, но я поняла, что она была очередным ненадёжным человеком, когда она перестала со мной разговаривать после моего развода.;general;a fair-weather friend;ИСТИНА;;DET + ADJ + PUNCT + NOUN + <NOUN>;;4;?
She doesn't accept any fair-weather friends because she expects full support in good times and in bad.;Она не заводит дружбу с ненадёжными людьми, потому что ожидает полной поддержки как в хорошие, так и в плохие времена.;general;a fair-weather friend;ИСТИНА;;DET + ADJ + PUNCT + NOUN + <NOUN>;;4;?
So you're not talking to me now either? Wow, I never took you for a fair-weather friend.;Значит, и ты теперь со мной не разговариваешь? Ого, а я думала, что ты надёжный друг.;general;a fair-weather friend;ИСТИНА;;DET + ADJ + PUNCT + NOUN + <NOUN>;;4;?
I really thought she?d be here to help me, but it seems that she?s just a fair-weather friend.;Я действительно думал, что она поможет мне, но, похоже, зря я на неё полагался.;general;a fair-weather friend;ИСТИНА;;DET + ADJ + PUNCT + NOUN + <NOUN>;;4;?
Branding a man with the tamga was a fate worse than death.;Поэтому тягостнее смерти было накладывание тамги на человека.;fiction;a fate worse than death;ИСТИНА;;DET + <NOUN> + ADJ + ADP + NOUN;;3;
Prison authorities shall utilize options such as home leave, open prisons, halfway houses and community-based programmes and services to the maximum possible extent for women prisoners, to ease their transition from prison to liberty, to reduce stigma and to re-establish their contact with their families at the earliest possible stage.;Тюремная администрация в максимально возможной степени использует такие возможности, как отпуск домой, тюрьмы открытого типа, исправительно-воспитательные центры и общинные программы и услуги для женщин-заключённых, с тем, чтобы облегчить процесс их возвращения на свободу, снизить степень общественного осуждения и как можно быстрее восстановить их контакты с семьёй.;legal_docs;a halfway house;ИСТИНА;;DET + NOUN + <NOUN>;;4;?
Tax reform was one of the new president's primary campaign promises, but it will likely prove a hard row to hoe, given the deep divisions in congress.;Налоговая реформа была одним из основных предвыборных обещаний нового президента, но, скорее всего, реализовать её будет непросто, учитывая глубокие разногласия в Конгрессе.;general;a hard row to hoe;ИСТИНА;;DET + ADJ + <NOUN> + PART + VERB;;4;?
I know finishing this thesis will be a hard row to hoe, but I'm actually looking forward to the challenge.;Я знаю, что закончить эту диссертацию будет непросто, но на самом деле я с нетерпением жду этого испытания.;general;a hard row to hoe;ИСТИНА;;DET + ADJ + <NOUN> + PART + VERB;;4;?
We'll only make the playoffs if we win ten of our twelve remaining games, which is certainly a hard row to hoe.;Мы выйдем в плей-офф только в том случае, если выиграем десять из двенадцати оставшихся матчей, что, безусловно, будет непросто.;general;a hard row to hoe;ИСТИНА;;DET + ADJ + <NOUN> + PART + VERB;;4;?
With four children under six and very little money, my mother had a hard row to hoe.;У моей матери было четверо детей в возрасте до шести лет и очень мало денег, и ей приходилось нелегко.;general;a hard row to hoe;ИСТИНА;;DET + ADJ + <NOUN> + PART + VERB;;4;?
In a criminal prosecution against the police, the prosecutor has a very tough row to hoe.;В рамках уголовного преследования, возбужденного против полиции, прокурору приходится изрядно попотеть.;general;a hard row to hoe;ИСТИНА;;DET + ADJ + <NOUN> + PART + VERB;;4;?
She is the first to admit that being a woman in politics has been a hard row to hoe.;Она первая признала, что быть женщиной в политике очень непросто.;general;a hard row to hoe;ИСТИНА;;DET + ADJ + <NOUN> + PART + VERB;;4;?
Unfortunately, as many have pointed out, there is a loose screw in this logic, which is that the United States has a floating exchange rate.;Но, к сожалению, и как многие уже отмечали, в этой логике есть одно слабое место ? у США плавающий валютный курс.;mass_media;a loose screw;ИСТИНА;слабое место;DET + ADJ + <NOUN>;ADJ + <NOUN>;3;ИСТИНА
I wish I hadn't bought that house ? the mortgage is a millstone around my neck.;Я жалею, что купил этот дом ? ипотека камнем висит у меня на шее.;general;a millstone round your neck;ИСТИНА;висеть камнем на шее;DET + NOUN + <ADP> + PRON + NOUN;<VERB> + NOUN + ADP + NOUN;2;ИСТИНА
Given the advisor's laundry list of scandals, he's proving to be quite a millstone around the candidate's neck.;Глядя на длинный список скандалов, связанных с советником, можно сказать, что он только создаёт проблемы кандидату.;general;a millstone round your neck;ИСТИНА;;DET + NOUN + <ADP> + PRON + NOUN;;2;ЛОЖЬ
Supply-chain problems can be a real millstone around your neck when you work in the manufacturing sector.;Проблемы с цепочкой поставок могут стать настоящим камнем преткновения для вас, если вы работаете в производственном секторе.;general;a millstone round your neck;ИСТИНА;камень преткновения;DET + NOUN + <ADP> + PRON + NOUN;<NOUN> + NOUN;2;Partial
A cab with impeccable service, punctuality and honesty can cost you a pretty penny.;Такси, отличающееся безупречным сервисом, пунктуальностью и честностью, может влететь вам в копеечку.;mass_media;a pretty penny;ИСТИНА;влететь в копеечку;DET + ADJ + <NOUN>;<VERB> + ADP + NOUN;3;ИСТИНА
For Kazakhstani consumers, everything that is sold in rubles costs a pretty penny.;Для казахстанских потребителей всё, что продаётся в рублях, бьёт по карману.;mass_media;a pretty penny;ИСТИНА;бить по карману;DET + ADJ + <NOUN>;<VERB> + ADP + NOUN;3;ИСТИНА
A fancy car like that costs a pretty penny, so I definitely can't afford it!;Такая шикарная машина стоит немалых денег, так что я определённо не могу себе её позволить!;general;a pretty penny;ИСТИНА;;DET + ADJ + <NOUN>;;3;ЛОЖЬ
Wow, Alex must have paid a pretty penny for a house in a gated community.;Ого, Алекс, должно быть, заплатил кругленькую сумму за дом в охраняемом районе.;general;a pretty penny;ИСТИНА;кругленькая сумма;DET + ADJ + <NOUN>;ADJ + <NOUN>;3;ИСТИНА
That bracelet she bought on a whim today sure cost a pretty penny ? she must be loaded.;Этот браслет, который она купила сегодня по наитию, наверняка обошелся ей в кругленькую сумму ? должно быть, она при деньгах.;general;a pretty penny;ИСТИНА;кругленькая сумма;DET + ADJ + <NOUN>;ADJ + <NOUN>;3;ИСТИНА
By the time it is ready for drinking, the value of the wine will have risen sufficiently to earn the investor a pretty penny.;К тому времени, когда вино будет готово к употреблению, его стоимость вырастет настолько, что инвестор получит кругленькую сумму.;general;a pretty penny;ИСТИНА;кругленькая сумма;DET + ADJ + <NOUN>;ADJ + <NOUN>;3;ИСТИНА
Buying a home can cost a pretty penny.;Покупка жилья может влететь в копеечку.;general;a pretty penny;ИСТИНА;влететь в копеечку;DET + ADJ + <NOUN>;<VERB> + ADP + NOUN;3;ИСТИНА
Have you seen the neighbour?s new car? That must have cost a pretty penny.;Ты видел новую машину соседа? Должно быть, она стоила немалых денег.;general;a pretty penny;ИСТИНА;;DET + ADJ + <NOUN>;;3;ЛОЖЬ
This watch cost me a pretty penny, and I intend to take care of it.;Эти часы влетели мне в копеечку, и я намерен беречь их.;general;a pretty penny;ИСТИНА;влететь в копеечку;DET + ADJ + <NOUN>;<VERB> + ADP + NOUN;3;ИСТИНА
I paid a pretty penny for that ring.;Я заплатил за это кольцо кругленькую сумму.;general;a pretty penny;ИСТИНА;кругленькая сумма;DET + ADJ + <NOUN>;ADJ + <NOUN>;3;ИСТИНА
This relates to a second reason why the imminent triumph for British Euroskeptics may end up a pyrrhic victory.;Это относится ко второй причине, по которой неизбежный триумф Британских Евроскептиков может закончиться пирровой победой.;mass_media;a Pyrrhic victory;ИСТИНА;пиррова победа;DET + ADJ + <NOUN>;<VERB> + NOUN;1;ИСТИНА
The rebels might have scored a victory against us earlier, but we'll be sure to give them a Roland for an Oliver in our next offensive.;Пусть повстанцы и одержали победу ранее, но мы обязательно дадим им достойный ответ в нашем следующем наступлении.;general;a Roland for an Oliver;ИСТИНА;;DET + <PROPN> + ADP + DET + NOUN;;3;ЛОЖЬ
Their army has quite an arsenal at their disposal ? they're certainly capable of giving a Roland for an Oliver if we attack.;В распоряжении их армии имеется неплохой арсенал ? они, безусловно, способны дать отпор, если мы нападём.;general;a Roland for an Oliver;ИСТИНА;дать отпор;DET + <PROPN> + ADP + DET + NOUN;<VERB> + NOUN;3;ИСТИНА
I don't think it's worth it to storm the enemy camp, not when they could easily give us a Roland for an Oliver.;Я не думаю, что стоит штурмовать вражеский лагерь, когда они могут легко дать нам отпор.;general;a Roland for an Oliver;ИСТИНА;дать отпор;DET + <PROPN> + ADP + DET + NOUN;<VERB> + NOUN;3;ИСТИНА
And this implies a willingness to attack many of the establishment?s sacred cows.;А значит, они должны быть готовы атаковать устои учреждения.;mass_media;a sacred cow;ИСТИНА;;DET + ADJ + <NOUN>;;4;?
And this implies a willingness to attack many of the establishment?s sacred cows.;А значит, они должны быть готовы напасть на многих священных коров истеблишмента.;mass_media;a sacred cow;ЛОЖЬ;;;;;
"One source of safe information is advertisements; it is a safe bet that an ad will not run down its own product.";"Одним из источников безопасной информации является реклама; можно с уверенностью сказать, что реклама не приведёт к потере собственного продукта.";fiction;a safe bet;ИСТИНА;;DET + ADJ + <NOUN>;;4;?
If there is a silver lining in the Trump cloud, it is a new sense of solidarity over core values such as tolerance and equality, sustained by awareness of the bigotry and misogyny, whether hidden or open, that Trump and his team embody.;Если и есть какой-то проблеск в созданном Трампом мраке, так это новое ощущение солидарности вокруг ключевых ценностей, таких как толерантность и равенство, а также осознания того фанатизма и женоненавистничества, скрытого или открытого, воплощением которого являются Трамп и его команда.;mass_media;a silver lining;ИСТИНА;;DET + NOUN + <NOUN>;;3;ЛОЖЬ
And if we can teach listening in our schools, we can take our listening off that slippery slope to that dangerous, scary world that I talked about, and move it to a place where everybody is consciously listening all the time, or at least capable of doing it.;И если мы сможем научить слушать в наших школах, мы сможем убрать наше слушание со скользкой дорожки в тот опасный, пугающий мир, о котором я говорил, и переместить его туда, где все сознательно слушают всё время, или, по крайней мере, способны это делать.;edu_and_sci;a slippery slope;ИСТИНА;скользкая дорожка;DET + ADJ + <NOUN>;ADJ + <NOUN>;2;ИСТИНА
In other words, once individuals start down that slippery slope of selfjustification, it becomes increasingly difficult to draw a line in the sand ? because in effect, they end up asking themselves, ?Why draw the line here if I did not draw it 15 volts ago??;"Другими словами, как только люди начинают спускаться по этой скользкой дорожке самооправдания, становится всё труднее провести черту на песке, потому что в конечном итоге они спрашивают себя: ""Зачем проводить черту здесь, если я не проводил её 15 вольт назад?""";fiction;a slippery slope;ИСТИНА;скользкая дорожка;DET + ADJ + <NOUN>;ADJ + <NOUN>;2;ИСТИНА
We have to act fast, because digital advances could be just the start of a slippery slope leading to an Orwellian world controlled by Big Brother, where millions of sensors in our smartphones and other devices collect data and make us vulnerable to manipulation.;Мы должны действовать быстро, потому что нынешний цифровой прогресс может оказаться лишь началом опасного пути, ведущего в оруэлловский мир под контролем ?Большого брата?, в котором миллионы сенсоров наших смартфонов и других устройств собирают данные, делая нас уязвимыми для манипуляций.;mass_media;a slippery slope;ИСТИНА;;DET + ADJ + <NOUN>;;2;ЛОЖЬ
And will other problems such as environmental issues and the availability of vital materials throw a spanner in the works?;И не помешают ли другие проблемы, такие как экологические проблемы и доступность жизненно важных материалов?;edu_and_sci;a spanner in the works;ИСТИНА;;DET + <NOUN> + ADP + DET + NOUN;;3;ЛОЖЬ
It is well known for the 10-year duration, for the heroism of a number of legendary characters, and for the Trojan horse.;Он хорошо известен своей 10-летней продолжительностью, героизмом ряда легендарных персонажей и троянским конем.;edu_and_sci;a Trojan horse;ЛОЖЬ;;;;;
That personable new hire turned out to be a Trojan horse ? she stole our intellectual property and sold it to the competitor!;Эта новая симпатичная сотрудница подставила нас ? она украла нашу интеллектуальную собственность и продала её им!;general;a Trojan horse;ИСТИНА;;DET + PROPN + <NOUN>;;1;ЛОЖЬ
We have malware on our computer because that game you downloaded turned out to be a Trojan horse.;На нашем компьютере вирус, потому что игра, которую ты скачал, была с трояном.;general;a Trojan horse;ИСТИНА;;DET + PROPN + <NOUN>;;1;ЛОЖЬ
Proposals for a golf course are now seen as a Trojan Horse for hotel and conference centres.;Предложения о создании полей для гольфа сейчас воспринимаются как троянский конь для гостиниц и конференц-центров.;general;a Trojan horse;ИСТИНА;троянский конь;DET + PROPN + <NOUN>;ADJ + <NOUN>;1;ИСТИНА
This small reduction in the basic tax rate was merely a Trojan horse for the far more drastic cutting of the top rate from 70 to 28 per cent.;Это небольшое снижение базовой налоговой ставки было всего лишь прикрытием для гораздо более резкого снижения максимальной ставки с 70 до 28 процентов.;general;a Trojan horse;ИСТИНА;;DET + PROPN + <NOUN>;;1;ЛОЖЬ
The skater in the yellow shirt is jumping above his board.;Скейтер в желтой рубашке прыгает через доску.;general;above board;ЛОЖЬ;;;;;
I expected that big company to try to take advantage of us, but so far all of their dealings with us have been above board.;Я ожидал, что эта крупная компания попытается использовать нас в своих интересах, но до сих пор все их сделки с нами были честными.;general;above board;ИСТИНА;;<ADP> + NOUN;;4;?
Their proposal sounds above board to me. Do you have any objections, Sarah?;Их предложение кажется мне честным. У тебя есть какие-нибудь возражения, Сара?;general;above board;ИСТИНА;;<ADP> + NOUN;;4;?
Anyone who wants to inspect our books can see for themselves that we are totally above board.;Любой, кто захочет ознакомиться с нашими бухгалтерскими документами, может лично убедиться в том, что мы абсолютно честны и откровенны.;general;above board;ИСТИНА;;<ADP> + NOUN;;4;?
In such an extreme time as this, the number of Internet sites and pages seeking to add fuel to the fire and cause panic has increased.;В такое экстремальное время, как сейчас, увеличилось количество интернет-сайтов и страниц, стремящихся подлить масла в огонь и вызвать панику.;mass_media;add fuel to the fire;ИСТИНА;лить масло в огонь;<VERB> + NOUN + ADP + DET + NOUN;<VERB> + NOUN + ADP + NOUN;2;ИСТИНА
But if an economy-wide financial event triggers the simultaneous collapse of multiple financial firms, all bets are off.;Но если финансовое состояние всей экономики вызывает одновременный крах многочисленных финансовых организаций, исключаются любые возможные варианты успеха.;mass_media;all bets are off;ИСТИНА;;DET + NOUN + <AUX> + ADV;;4;?
If we divide language development into somewhat arbitrary stages,like Syllable Babbling, Gibberish Babbling, One-Word Utterances, and Two-Word Strings, the next stage would have to be called All Hell Breaks Loose.;Если мы произвольно разобьём процесс языкового развития на некоторые этапы, например: Лепетание Слогов, Лепетание абракадабры, Односложные высказывания и Двухсловные цепочки, то следующий этап будет называться Извержение вулкана.;fiction;all hell broke loose;ИСТИНА;;DET + NOUN + <VERB> + ADV;;4;?
All is not gold that glitters.;Не всё то золото, что блестит.;general;all that glitters is not gold;ИСТИНА;не всё то золото, что блестит;PRON + PRON + NOUN + <AUX> + PART + ADJ;PART + DET + DET + <NOUN> + PUNCT + PRON + VERB;1;ИСТИНА
All that glitters is not gold.;Не всё то золото, что блестит.;general;all that glitters is not gold;Ambiguous;не всё то золото, что блестит;PRON + PRON + NOUN + <AUX> + PART + ADJ;PART + DET + DET + <NOUN> + PUNCT + PRON + VERB;1;ИСТИНА
All is not gold that glitters.;Не всё то золото, что блестит.;general;all that glitters is not gold;Ambiguous;не всё то золото, что блестит;PRON + PRON + NOUN + <AUX> + PART + ADJ;PART + DET + DET + <NOUN> + PUNCT + PRON + VERB;1;ИСТИНА
All is not gold that glitters.;Не всё золото, что блестит.;general;all that glitters is not gold;Ambiguous;не всё то золото, что блестит;PRON + PRON + NOUN + <AUX> + PART + ADJ;PART + DET + DET + <NOUN> + PUNCT + PRON + VERB;1;ИСТИНА
We know exactly how we turned what was called our Achilles heel ? multi-ethnicity and multi-religious reality ? into an advantage.;На собственном опыте мы знаем, как то, что называли нашей ахиллесовой пятой ? многоэтничность и поликонфессиональность, мы обратили в своё преимущество.;legal_docs;an Achilles heel;ИСТИНА;ахиллесова пята;DET + PROPN + <NOUN>;ADJ + <NOUN>;1;ИСТИНА
They take it as an article of faith that the exchange rate will in fact rise to neutralize the trade effects of a border adjustment tax.;Они не сомневаются в том, что валютный курс действительно укрепится и нейтрализует влияние налога на корректировку границ на внешнюю торговлю.;mass_media;an article of faith;ИСТИНА;;DET + <NOUN> + ADP + NOUN;;3;ЛОЖЬ
They take it as an article of faith that the exchange rate will in fact rise to neutralize the trade effects of a border adjustment tax.;Они не сомневаются в том, что валютный курс действительно укрепится и нейтрализует влияние ?пограничного налога? на внешнюю торговлю.;mass_media;an article of faith;ИСТИНА;;DET + <NOUN> + ADP + NOUN;;3;ЛОЖЬ
An eye for an eye, and a tooth for a tooth.;Око за око, зуб за зуб.;general;an eye for an eye and a tooth for a tooth;ИСТИНА;око за око, зуб за зуб;DET + <NOUN> + ADP + DET + NOUN + CCONJ + DET + NOUN + ADP + DET + NOUN;<NOUN> + ADP + NOUN + PUNCT + NOUN + ADP + NOUN;1;ИСТИНА
He's an angry young man, protesting against a government he thinks is unjust.;Он молодой бунтарь, протестующий против правительства, которое он считает несправедливым.;general;angry young man;ИСТИНА;;ADJ + ADJ + <NOUN>;;4;?
You're in your 20s now. It's time to stop being an angry young man and get a job.;Тебе уже за 20. Пора прекратить строить из себя бунтаря и найти работу.;general;angry young man;ИСТИНА;;ADJ + ADJ + <NOUN>;;4;?
Yeah, I guess I'm an angry young man. I just don't understand how so many people are fine with getting sucked into the capitalist machine!;Да, возможно, я молодой бунтарь. Я просто не понимаю, как столько людей спокойно относятся к тому, что их буквально засасывает эта капиталистическая машина!;general;angry young man;ИСТИНА;;ADJ + ADJ + <NOUN>;;4;?
Worse, Trump will be changing the rules of the game at a time when the global economy is already fragile, China is confronting a massively inflated bubble in its financial sector, and Europe is asleep at the wheel of a slow-motion train wreck in Italy?s banking sector.;Хуже того, Трамп будет менять правила игры в то время, когда мировая экономика и без того нестабильна, Китай сталкивается с массивным раздутым пузырём в своём финансовом секторе, а Европа не справляется с неминуемой катастрофой в Итальянском банковском секторе.;mass_media;asleep at the wheel;ИСТИНА;;<ADJ> + ADP + DET + NOUN;;4;?
All at sixes and sevens.;Всё на шестёрках и семёрках.;general;at sixes and sevens;ЛОЖЬ;;;;;
All at sixes and sevens.;Кто в лес, кто по дрова.;general;at sixes and sevens;ИСТИНА;кто в лес, кто по дрова;<ADP> + NOUN + CCONJ + NOUN;PRON + ADP + <NOUN> + PUNCT + PRON + ADP + NOUN;3;ИСТИНА
